chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
FB,2020-12-31,270.0000,call,buy,2020-12-24T15:03:52.937935Z,debit,1.00000,limit,long_call_spread,,0.98000000,1.00000
FB,2020-12-31,272.5000,call,sell,2020-12-24T15:03:52.937935Z,debit,1.00000,limit,long_call_spread,,0.98000000,1.00000
AAPL,2021-01-22,125.0000,call,buy,2020-12-24T14:50:23.525196Z,debit,1.00000,limit,long_call_spread,,0.74000000,1.00000
AAPL,2021-01-22,126.0000,call,sell,2020-12-24T14:50:23.525196Z,debit,1.00000,limit,long_call_spread,,0.74000000,1.00000
DBX,2020-12-31,25.0000,call,sell,2020-12-24T14:47:08.576367Z,credit,1.00000,limit,,long_call,0.33000000,1.00000
ROKU,2020-12-24,380.0000,call,sell,2020-12-24T14:35:48.235478Z,credit,1.00000,limit,,long_call,0.07000000,1.00000
BABA,2020-12-31,265.0000,call,buy,2020-12-23T19:39:26.937916Z,debit,1.00000,limit,long_call,,1.60000000,1.00000
NVDA,2020-12-24,532.5000,call,sell,2020-12-23T19:19:49.007012Z,credit,1.00000,limit,,long_call,0.61000000,1.00000
FB,2020-12-31,272.5000,call,sell,2020-12-23T19:00:46.941189Z,credit,1.00000,limit,,long_call,4.15000000,1.00000
PLUG,2020-12-31,38.0000,call,sell,2020-12-23T18:58:28.369775Z,credit,1.00000,limit,,long_call,0.98000000,1.00000
PLUG,2020-12-31,38.0000,call,sell,2020-12-23T18:54:50.122154Z,credit,1.00000,limit,,long_call,0.98000000,1.00000
DBX,2020-12-31,25.0000,call,buy,2020-12-23T18:45:29.949925Z,debit,1.00000,limit,long_call,,0.60000000,1.00000
PLUG,2020-12-31,38.0000,call,buy,2020-12-23T18:42:45.748287Z,debit,1.00000,limit,long_call,,1.02000000,1.00000
FB,2020-12-31,272.5000,call,buy,2020-12-23T18:11:04.464538Z,debit,1.00000,limit,long_call,,4.00000000,1.00000
